Protein,Cluster
putative protein YpbG,cluster6
Virginiamycin B lyase,cluster6
27-O-demethylrifamycin SV methyltransferase,cluster6
putative protein-export membrane protein SecG,cluster6
Hydroxyacylglutathione hydrolase GloC,cluster6
Leucine-responsive regulatory protein,cluster6
Carnitine operon protein CaiE,cluster6
PE family protein PE9,cluster6
primosomal protein N,cluster6
2-formylbenzoate dehydrogenase,cluster6
tRNA-dihydrouridine synthase B,cluster6
sugar efflux transporter,cluster6
RNA polymerase-associated protein RapA,cluster6
Ribonucleotide monophosphatase NagD,cluster6
D-threitol dehydrogenase,cluster6
Transcriptional repressor IclR,cluster6
Sorbitol dehydrogenase,cluster6
Tyrocidine synthase 3,cluster6
Penicillin-binding protein 4*,cluster6
Surfactin synthase subunit 2,cluster6
Group II intron-encoded protein LtrA,cluster6
IS3 family transposase ISHahy4,cluster6
Sporulation initiation inhibitor protein Soj,cluster6
Acyl-CoA dehydrogenase FadE28,cluster6
ABC transporter glutamine-binding protein GlnH,cluster6
Multidrug resistance protein EbrA,cluster6
Type I secretion system ATP-binding protein PrsD,cluster6
ComE operon protein 1,cluster6
Periplasmic pH-dependent serine endoprotease DegQ,cluster6
DEAD-box ATP-dependent RNA helicase CshA,cluster6
NADH-quinone oxidoreductase subunit A,cluster6
HTH-type transcriptional repressor PurR,cluster6
Transcriptional regulatory protein WalR,cluster6
Putrescine transporter PotE,cluster6
Oligopeptide transport ATP-binding protein OppF,cluster6
Prolyl endopeptidase,cluster6
Na(+)-translocating NADH-quinone reductase subunit F,cluster6
Benzaldehyde dehydrogenase YfmT,cluster6
phosphoglycerate mutase GpmB,cluster6
Respiratory nitrate reductase 1 beta chain,cluster6
Phosphoadenosine phosphosulfate reductase,cluster6
Muconolactone Delta-isomerase,cluster6
Transcriptional regulatory protein DegU,cluster6
16S ribosomal RNA (partial),cluster6
Putative transposase InsK for insertion sequence element IS150,cluster6
IS3 family transposase ISLtaq1,cluster6
5S ribosomal RNA,cluster6
FMN-dependent NADH-azoreductase 4,cluster6
Protein TraI,cluster6
Protein TraJ,cluster6
HMP-PP phosphatase,cluster6
Constitutive ornithine decarboxylase,cluster6
LL-diaminopimelate aminotransferase,cluster6
Cytochrome P450 107B1,cluster6
8-demethylnovobiocic acid synthase,cluster6
Hydroxycinnamoyl-CoA hydratase-lyase,cluster6
A-adding tRNA nucleotidyltransferase,cluster6
Proline dehydrogenase 2,cluster6
K(+)/H(+) antiporter NhaP2,cluster6
Diacetylchitobiose uptake system permease protein NgcF,cluster6
IS30 family transposase ISLxc3,cluster6
IS30 family transposase ISMdi25,cluster6
L-carnitine dehydrogenase,cluster6
Linear gramicidin synthase subunit B,cluster6
Putative serine protease HhoA,cluster6
N-succinylglutamate 5-semialdehyde dehydrogenase,cluster6
Glycine dehydrogenase (decarboxylating),cluster6
Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,cluster6
Transcriptional regulator SlyA,cluster6
Ribosome-associated ATPase,cluster6
Glyoxylate/hydroxypyruvate reductase B,cluster6
Riboflavin transporter RibZ,cluster6
putative iron export permease protein FetB,cluster6
Fosfomycin resistance protein AbaF,cluster6
DNA polymerase/3-5 exonuclease PolX,cluster6
Levodione reductase,cluster6
Gluconate 5-dehydrogenase,cluster6
3-5 exonuclease DinG,cluster6
IS1634 family transposase ISMyca1,cluster6
Arsenical-resistance protein Acr3,cluster6
4-hydroxy-3-methylbut-2-enyl diphosphate reductase,cluster6
L-carnitine/gamma-butyrobetaine antiporter,cluster6
Dual-specificity RNA methyltransferase RlmN,cluster6
putative HTH-type transcriptional regulator YurK,cluster6
Phytochrome-like protein cph2,cluster6
IS30 family transposase ISLxc4,cluster6
Protease 4,cluster6
H(+)/Cl(-) exchange transporter ClcA,cluster6
Glucose 1-dehydrogenase 1,cluster6
Pectin degradation repressor protein KdgR,cluster6
Enterobactin synthase component F,cluster6
IS110 family transposase ISCARN28,cluster6
IS481 family transposase ISNfa1,cluster6
IS3 family transposase ISMsm7,cluster6
Proline dehydrogenase,cluster6
O-acetyltransferase OatA,cluster6
Type I restriction enzyme EcoKI M protein,cluster6
Melibiose/raffinose/stachyose import permease protein MelD,cluster6
Glucose 1-dehydrogenase 2,cluster6
3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 2,cluster6
(R)-specific enoyl-CoA hydratase,cluster6
IS110 family transposase ISPpu10,cluster6
Putative manganese exporter,cluster6
L-amino acid amidase,cluster6
Linearmycin resistance ATP-binding protein LnrL,cluster6
UDP-N-acetylglucosamine 4-epimerase,cluster6
Adaptive-response sensory-kinase SasA,cluster6
Carnitine monooxygenase reductase subunit,cluster6
HTH-type transcriptional regulator SrpR,cluster6
HTH-type transcriptional activator RhaR,cluster6
Uroporphyrinogen-III C-methyltransferase,cluster6
Magnesium transport protein CorA,cluster6
Cyclic di-GMP phosphodiesterase PdeR,cluster6
IS3 family transposase ISBli17,cluster6
putative carboxylesterase nap,cluster6
Carbonic anhydrase 1,cluster6
3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component,cluster6
Metalloprotease TldD,cluster6
Succinyl-CoA--L-malate CoA-transferase alpha subunit,cluster6
Medium-chain fatty-acid--CoA ligase,cluster6
Formate dehydrogenase H,cluster6
Protein-glutamate methylesterase/protein-glutamine glutaminase,cluster6
23S rRNA (uracil(747)-C(5))-methyltransferase RlmC,cluster6
Small-conductance mechanosensitive channel,cluster6
Nicotinate dehydrogenase small FeS subunit,cluster6
Thiosulfate sulfurtransferase GlpE,cluster6
Ferredoxin--NADP reductase,cluster6
Multidrug resistance protein MdtB,cluster6
Sulfoquinovose 1-dehydrogenase,cluster6
1-pyrroline-5-carboxylate dehydrogenase 2,cluster6
Nickel transport system permease protein NikB,cluster6
NADP-dependent 3-hydroxy acid dehydrogenase YdfG,cluster6
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE,cluster6
DNA ligase,cluster6
1-pyrroline-5-carboxylate dehydrogenase,cluster6
L-fuculose phosphate aldolase,cluster6
NADH dehydrogenase,cluster6
Acetyl-CoA acetyltransferase,cluster6
HTH-type transcriptional regulator YodB,cluster6
Bile acid-coenzyme A ligase,cluster6
3-oxocholoyl-CoA 4-desaturase,cluster6
Trans-aconitate 2-methyltransferase,cluster6
Mercuric reductase,cluster6
Ribonuclease Z,cluster6
3-oxoadipate enol-lactonase 2,cluster6
Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA,cluster6
Lactaldehyde dehydrogenase,cluster6
CDP-diacylglycerol pyrophosphatase,cluster6
Serine hydroxymethyltransferase,cluster6
Alkanesulfonate monooxygenase,cluster6
2-hydroxy-3-oxopropionate reductase,cluster6
Putative metabolite transport protein YjhB,cluster6
Cytochrome p450 CYP199A2,cluster6
Tagatose-6-phosphate kinase,cluster6
Hopanoid C-3 methylase,cluster6
Acetophenone carboxylase delta subunit,cluster6
Acetophenone carboxylase gamma subunit,cluster6
Energy-coupling factor transporter transmembrane protein EcfT,cluster6
Hydroxylaminobenzene mutase HabB,cluster6
ISNCY family transposase ISBli15,cluster6
Multidrug resistance protein MdtL,cluster6
HTH-type transcriptional repressor FabR,cluster6
NADH-quinone oxidoreductase subunit C/D,cluster6
Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,cluster6
Allophanate hydrolase,cluster6
Purine efflux pump PbuE,cluster6
O-acetyl-ADP-ribose deacetylase,cluster6
CC-adding tRNA nucleotidyltransferase,cluster6
Octaprenyl diphosphate synthase,cluster6
Cobalamin biosynthesis protein CbiB,cluster6
Peptidoglycan glycosyltransferase MrdB,cluster6
HTH-type transcriptional regulator MalT,cluster6
Glucose-6-phosphate 1-dehydrogenase,cluster6
Beta-glucosidase BoGH3A,cluster6
C4-dicarboxylate transport protein,cluster6
Diacetylchitobiose uptake system permease protein NgcG,cluster6
Carnitine transport permease protein OpuCB,cluster6
NAD(P) transhydrogenase subunit alpha,cluster6
Molybdopterin synthase sulfur carrier subunit,cluster6
Sulfide-quinone reductase,cluster6
HTH-type transcriptional regulator KipR,cluster6
HTH-type transcriptional repressor CzrA,cluster6
C4-dicarboxylic acid transporter DauA,cluster6
L-lactate transporter,cluster6
Protein CopG,cluster6
Quinone reductase,cluster6
putative metallo-hydrolase YflN,cluster6
DNA helicase II,cluster6
Hydroxypyruvate reductase,cluster6
Sulfate permease CysP,cluster6
Pyruvate/proton symporter BtsT,cluster6
Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB,cluster6
3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase,cluster6
Putative membrane protein insertion efficiency factor,cluster6
5-hydroxyisourate hydrolase,cluster6
Metallothiol transferase FosB,cluster6
NADP/NAD-dependent aldehyde dehydrogenase PuuC,cluster6
Lon protease,cluster6
putative acyl--CoA ligase YhfT,cluster6
IS66 family transposase ISAba16,cluster6
p-aminobenzoyl-glutamate hydrolase subunit B,cluster6
D-amino acid dehydrogenase,cluster6
Nucleoid occlusion protein,cluster6
Peptidoglycan-N-acetylglucosamine deacetylase,cluster6
4-chlorobenzoate--CoA ligase,cluster6
Arsenical resistance operon repressor,cluster6
Ureidoglycolate lyase,cluster6
Trimethylamine-N-oxide reductase 1,cluster6
Nucleoid-associated protein YbaB,cluster6
Chaperone protein DnaJ,cluster6
Gluconeogenesis factor,cluster6
Malonate-semialdehyde dehydrogenase,cluster6
L-idonate 5-dehydrogenase (NAD(P)(+)),cluster6
Glutathione-regulated potassium-efflux system protein KefB,cluster6
Succinyl-CoA--L-malate CoA-transferase beta subunit,cluster6
HTH-type transcriptional regulator LutR,cluster6
Diacetylchitobiose uptake system permease protein DasB,cluster6
Cytochrome bd ubiquinol oxidase subunit 1,cluster6
Glutamine transport system permease protein GlnP,cluster6
Di-/tripeptide transporter,cluster6
Putative hydro-lyase,cluster6
NADPH-dependent curcumin reductase,cluster6
Putative DNA repair helicase RadD,cluster6
Putative two-component membrane permease complex subunit SMU_747c,cluster6
L-ribulose 3-epimerase,cluster6
HTH-type transcriptional regulator MurR,cluster6
D-alanine--D-alanine ligase A,cluster6
Gamma-aminobutyraldehyde dehydrogenase,cluster6
Betaine/ectoine transporter LcoP,cluster6
Petrobactin import system permease protein FatD,cluster6
HTH-type transcriptional repressor CytR,cluster6
Glyoxylate/hydroxypyruvate reductase A,cluster6
Urocanate hydratase,cluster6
ATP-dependent Clp protease proteolytic subunit,cluster6
Protease 2,cluster6
Heterocyst differentiation ATP-binding protein HepA,cluster6
Alpha-ketoglutaric semialdehyde dehydrogenase,cluster6
putative ABC transporter phosphite binding protein PhnD1,cluster6
Integration host factor subunit alpha,cluster6
Ribosome hibernation promoting factor,cluster6
Dipeptide transport ATP-binding protein DppD,cluster6
Mannosylglycerate hydrolase,cluster6
Anaerobic nitric oxide reductase flavorubredoxin,cluster6
putative RNA methyltransferase,cluster6
Esterase EstB,cluster6
2-O-methyltransferase NoeI,cluster6
Galactose-6-phosphate isomerase subunit LacB,cluster6
NAD(P)H-quinone oxidoreductase subunit K,cluster6
Glucosamine-6-phosphate deaminase,cluster6
NAD(P)H-quinone oxidoreductase chain 4,cluster6
3-beta-hydroxycholanate 3-dehydrogenase (NADP(+)),cluster6
Chloride/fluoride channel protein,cluster6
IS3 family transposase ISMyma10,cluster6
Protein-export membrane protein SecF,cluster6
cytosol aminopeptidase,cluster6
dTTP/UTP pyrophosphatase,cluster6
Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase,cluster6
Obg-like ATPase 1,cluster6
DNA damage-inducible protein F,cluster6
NADH-quinone oxidoreductase subunit 4,cluster6
UDP-glucose 6-dehydrogenase TuaD,cluster6
lipid II flippase MurJ,cluster6
Putative aldehyde dehydrogenase AldA,cluster6
8-amino-7-oxononanoate synthase,cluster6
RNA polymerase sigma factor RpoH,cluster6
NADPH dehydrogenase,cluster6
Biodegradative arginine decarboxylase,cluster6
Cyclic pyranopterin monophosphate synthase,cluster6
RNA polymerase sigma factor RpoD,cluster6
Acid sugar phosphatase,cluster6
Alcohol dehydrogenase [acceptor],cluster6
Acetylornithine/succinyldiaminopimelate aminotransferase,cluster6
Tyrocidine synthase 2,cluster6
Arginine decarboxylase,cluster6
Mesaconyl-CoA hydratase,cluster6
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit,cluster6
Thiol:disulfide interchange protein DsbE,cluster6
putative iron-sulfur-binding oxidoreductase FadF,cluster6
ATP phosphoribosyltransferase regulatory subunit,cluster6
IS21 family transposase ISMt3,cluster6
Peptide chain release factor 3,cluster6
Spermidine export protein MdtI,cluster6
HTH-type transcriptional regulator SrpS,cluster6
Fused isobutyryl-CoA mutase,cluster6
Iron-uptake system permease protein FeuC,cluster6
Guanine/hypoxanthine permease PbuG,cluster6
N-acyl-D-aspartate deacylase,cluster6
Ferredoxin-type protein NapF,cluster6
putative acrylyl-CoA reductase AcuI,cluster6
Nicotine blue oxidoreductase,cluster6
Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,cluster6
IS481 family transposase ISChy6,cluster6
3-sulfolactaldehyde reductase,cluster6
Cyclic di-AMP synthase CdaA,cluster6
Chloramphenicol acetyltransferase,cluster6
Replication initiation protein,cluster6
Protein YhgF,cluster6
HTH-type transcriptional regulatory protein GabR,cluster6
HTH-type transcriptional regulator ArgP,cluster6
Glycine betaine transporter BetP,cluster6
HTH-type transcriptional regulator HdfR,cluster6
NAD-dependent malic enzyme,cluster6
Cobalt-precorrin-4 C(11)-methyltransferase,cluster6
Glutamate decarboxylase beta,cluster6
D-threo-3-hydroxyaspartate dehydratase,cluster6
Demethylrebeccamycin-D-glucose O-methyltransferase,cluster6
Glucosamine kinase,cluster6
IS481 family transposase ISGur11,cluster6
Alkane 1-monooxygenase 1,cluster6
Regulator of RpoS,cluster6
Glucose 1-dehydrogenase,cluster6
L-lactate dehydrogenase,cluster6
Nicotinate phosphoribosyltransferase,cluster6
putative acyl-CoA dehydrogenase,cluster6
Bifunctional protein Aas,cluster6
Transcriptional regulator WhiB2,cluster6
Oligopeptide transport ATP-binding protein OppD,cluster6
Arabinose-proton symporter,cluster6
Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain,cluster6
Toxin RTX-I translocation ATP-binding protein,cluster6
IS30 family transposase ISSpn8,cluster6
D-alanyl-D-alanine carboxypeptidase DacF,cluster6
Glycerophosphodiester phosphodiesterase,cluster6
ISNCY family transposase ISMav9,cluster6
Cold shock-like protein CspD,cluster6
DNA polymerase III subunit epsilon,cluster6
peptidoglycan glycosyltransferase FtsW,cluster6
Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,cluster6
acetate kinase,cluster6
Farnesyl diphosphate synthase,cluster6
M18 family aminopeptidase 2,cluster6
Poly(3-hydroxyalkanoate) polymerase subunit PhaC,cluster6
RNase adapter protein RapZ,cluster6
Cysteine desulfurase,cluster6
NDMA-dependent alcohol dehydrogenase,cluster6
Antitoxin VapB43,cluster6
ATP-dependent RNA helicase CshA,cluster6
Sirohydrochlorin ferrochelatase,cluster6
scyllo-inosose 3-dehydrogenase,cluster6
Plipastatin synthase subunit B,cluster6
Putative acyl-CoA dehydrogenase YdbM,cluster6
Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase,cluster6
Putidaredoxin reductase CamA,cluster6
D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase,cluster6
Protein translocase subunit SecA,cluster6
tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC,cluster6
N-acetylglucosamine repressor,cluster6
Zinc transport protein ZntB,cluster6
Biotin carboxylase,cluster6
Demethylphylloquinone reductase NdbB,cluster6
IS3 family transposase IS1240,cluster6
IS30 family transposase IS1382,cluster6
Phenol hydroxylase P5 protein,cluster6
Glutamate mutase sigma subunit,cluster6
Na(+)/H(+) antiporter NhaB,cluster6
3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2,cluster6
2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase,cluster6
Glycine betaine/carnitine/choline transport system permease protein OpuCD,cluster6
Adenylyl-sulfate kinase,cluster6
putative protein YagA,cluster6
HTH-type transcriptional repressor BepR,cluster6
Sulfite dehydrogenase subunit A,cluster6
Osmoprotectant import ATP-binding protein OsmV,cluster6
Non-heme chloroperoxidase,cluster6
Lipase 2,cluster6
HTH-type transcriptional activator RhaS,cluster6
IS200/IS605 family transposase ISDge10,cluster6
Cyclic di-GMP phosphodiesterase response regulator RpfG,cluster6
Membrane lipoprotein TmpC,cluster6
ComE operon protein 3,cluster6
transcriptional regulatory protein YebC,cluster6
hercynylcysteine sulfoxide lyase,cluster6
Beta-lactamase TEM,cluster6
cell division protein WhiA,cluster6
[Ribosomal protein S18]-alanine N-acetyltransferase,cluster6
IS3 family transposase ISPsy31,cluster6
Co-chaperone protein HscB,cluster6
Sortase D,cluster6
C4-dicarboxylate transport transcriptional regulatory protein DctD,cluster6
Ethanolamine ammonia-lyase heavy chain,cluster6
P-loop guanosine triphosphatase YjiA,cluster6
High-affinity branched-chain amino acid transport ATP-binding protein LivF,cluster6
Peptidase T,cluster6
Low-affinity inorganic phosphate transporter 1,cluster6
Arabinose operon regulatory protein,cluster6
Phenazine-1-carboxylate N-methyltransferase,cluster6
Disulfide-bond oxidoreductase YghU,cluster6
Ribonucleoside-diphosphate reductase subunit alpha 2,cluster6
putative protein YdfO,cluster6
Serine/threonine-protein phosphatase 1,cluster6
Prophage DNA-packing protein NohA,cluster6
Attachment invasion locus protein,cluster6
Prophage tail fiber assembly protein TfaE,cluster6
Putative aliphatic sulfonates transport permease protein SsuC,cluster6
IS1595 family transposase ISAisp1,cluster6
Tn3 family transposase IS1071,cluster6
IS6 family transposase IS6100,cluster6
Murein hydrolase activator EnvC,cluster6
IS3 family transposase ISMyma1,cluster6
putative protein YisK,cluster6
5-(methylthio)ribulose-1-phosphate aldolase,cluster6
Serine protease Do-like HtrB,cluster6
Glutaredoxin arsenate reductase,cluster6
Alkaline phosphatase synthesis sensor protein PhoR,cluster6
12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase,cluster6
IS630 family transposase ISMsm2,cluster6
IS1380 family transposase ISMsm3,cluster6
Porin MspD,cluster6
Carnitine transport ATP-binding protein OpuCA,cluster6
RNA polymerase sigma factor FliA,cluster6
Cbb3-type cytochrome c oxidase subunit CcoN1,cluster6
malate:quinone oxidoreductase,cluster6
Putative multidrug export ATP-binding/permease protein,cluster6
IS3 family transposase ISStma2,cluster6
Streptomycin 3-adenylyltransferase,cluster6
Putative phosphoserine phosphatase 2,cluster6
Zinc transporter ZitB,cluster6
2-methylisocitrate lyase,cluster6
N-acetyl-D-glucosamine kinase,cluster6
putative multidrug resistance protein EmrY,cluster6
S-adenosylmethionine decarboxylase proenzyme,cluster6
Fatty acid metabolism regulator protein,cluster6
Endoglucanase E-2,cluster6
IS982 family transposase ISLll1,cluster6
IS256 family transposase IS905,cluster6
IS982 family transposase IS982B,cluster6
IS6 family transposase IS946V,cluster6
IS3 family transposase IS981,cluster6
IS3 family transposase ISAar45,cluster6
IS21 family transposase ISLxx1,cluster6
IS21 family transposase IS1415,cluster6
IS256 family transposase ISMlu11,cluster6
Fructose-bisphosphate aldolase class 1,cluster6
IS5 family transposase ISBli8,cluster6
IS481 family transposase ISKrh2,cluster6
Sodium/proton-dependent alanine carrier protein,cluster6
IS30 family transposase ISPfr14,cluster6
D-erythrose-4-phosphate dehydrogenase,cluster6
ISL3 family transposase ISPfr2,cluster6
IS1380 family transposase ISFsp14,cluster6
Molybdenum cofactor guanylyltransferase,cluster6
putative L-galactonate transporter,cluster6
tRNA pseudouridine synthase D,cluster6
HTH-type transcriptional regulator PrtR,cluster6
Exodeoxyribonuclease 8,cluster6
Putative defective protein IntQ,cluster6
Quinate/shikimate dehydrogenase,cluster6
IS3 family transposase ISMtsp5,cluster6
IS3 family transposase ISAzs24,cluster6
Phosphate-import permease protein PhnE,cluster6
GTP pyrophosphokinase rsh,cluster6
ATP-dependent DNA helicase PcrA,cluster6
Lactose transport system permease protein LacG,cluster6
Flagellar motor switch protein FliG,cluster6
Nitrogen regulatory protein P-II 2,cluster6
Bifunctional transcriptional activator/DNA repair enzyme Ada,cluster6
Pyrophosphate--fructose 6-phosphate 1-phosphotransferase,cluster6
putative 2-heptyl-3-hydroxy-4(1H)-quinolone synthase AqdB2,cluster6
Oligopeptide-binding protein AppA,cluster6
ADP-ribose pyrophosphatase,cluster6
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,cluster6
dCTP deaminase,cluster6
Hygromycin-B 4-O-kinase,cluster6
ISL3 family transposase ISSpn3,cluster6
Oxaloacetate decarboxylase alpha chain,cluster6
Putative TrmH family tRNA/rRNA methyltransferase,cluster6
Protein hit,cluster6
(S)-1-Phenylethanol dehydrogenase,cluster6
Dipeptide transport system permease protein DppC,cluster6
Tn3 family transposase,cluster6
Xaa-Pro aminopeptidase,cluster6
Adenosylcobalamin-dependent ribonucleoside-triphosphate reductase,cluster6
IS3 family transposase ISBcen7,cluster6
IS66 family transposase ISBcen19,cluster6
IS481 family transposase ISBxe3,cluster6
IS3 family transposase ISAisp2,cluster6
IS3 family transposase ISBcen15,cluster6
IS66 family transposase ISPpu14,cluster6
5-carboxymethyl-2-hydroxymuconate Delta-isomerase,cluster6
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,cluster6
Flagellar hook-basal body complex protein FliE,cluster6
High-affinity branched-chain amino acid transport system permease protein LivH,cluster6
putative glucarate transporter,cluster6
Phosphate import ATP-binding protein PstB,cluster6
IS66 family transposase ISPpu19,cluster6
IS1634 family transposase IS1549,cluster6
3-succinoylsemialdehyde-pyridine dehydrogenase,cluster6
Hydrogen peroxide-inducible genes activator,cluster6
Fe-S protein maturation auxiliary factor SufT,cluster6
Glycogen debranching enzyme,cluster6
Thymidylate synthase,cluster6
IS256 family transposase IS1511,cluster6
IS256 family transposase IS1245,cluster6
ISL3 family transposase ISPfr18,cluster6
Tetracycline repressor protein class B from transposon Tn10,cluster6
Ribosomal protein S12 methylthiotransferase RimO,cluster6
5-oxoprolinase subunit A,cluster6
putative siderophore transport system permease protein YfhA,cluster6
Hemin-binding periplasmic protein HmuT,cluster6
2-oxoglutarate dehydrogenase E1/E2 component,cluster6
Lipoprotein-releasing system ATP-binding protein LolD,cluster6
Glutathione transport system permease protein GsiD,cluster6
Peptidoglycan-associated lipoprotein,cluster6
putative sporulation protein YlmC,cluster6
G/U mismatch-specific DNA glycosylase,cluster6
Glucarate dehydratase,cluster6
3-oxoacyl-[acyl-carrier-protein] reductase,cluster6
Teichoic acid poly(glycerol phosphate) polymerase,cluster6
Regulatory protein rop,cluster6
4-hydroxybenzoate octaprenyltransferase,cluster6
HTH-type transcriptional regulator PgrR,cluster6
Constitutive lysine decarboxylase,cluster6
2-octaprenylphenol hydroxylase,cluster6
Lactose operon repressor,cluster6
IS1182 family transposase ISP2,cluster6
Respiratory nitrate reductase 2 alpha chain,cluster6
Multidrug resistance protein MdtA,cluster6
Nicotinamide riboside transporter PnuC,cluster6
tRNA 5-carboxymethoxyuridine methyltransferase,cluster6
putative lipoprotein YgdR,cluster6
Fructose-bisphosphate aldolase class 2,cluster6
Inner membrane protein YebE,cluster6
Flagellar hook protein FlgE,cluster6
Protein FdhE,cluster6
Bleomycin resistance protein,cluster6
UDP-N-acetyl-D-mannosamine dehydrogenase,cluster6
Multidrug efflux pump LfrA,cluster6
scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,cluster6
Transcriptional regulatory protein YpdB,cluster6
Glucose-6-phosphate isomerase B,cluster6
HTH-type transcriptional activator HxlR,cluster6
3-hexulose-6-phosphate synthase,cluster6
Pyrophosphatase PpaX,cluster6
Transcriptional regulatory protein LiaR,cluster6
Replication termination protein,cluster6
IS256 family transposase ISDet4,cluster6
IS21 family transposase ISPsy41,cluster6
IS21 family transposase ISPpu7,cluster6
putative murein peptide carboxypeptidase,cluster6
A-type flagellin,cluster6
Translational regulator CsrA,cluster6
3-hexulose-6-phosphate isomerase,cluster6
DNA-invertase hin,cluster6
Tn3 family transposase TnXo19,cluster6
Protein CbbX,cluster6
IS110 family transposase IS650,cluster6
IS1182 family transposase ISBsp5,cluster6
IS110 family transposase ISHaha5,cluster6
IS4 family transposase ISDha5,cluster6
ISLre2 family transposase ISGsp3,cluster6
Flap endonuclease Xni,cluster6
Malate synthase A,cluster6
Putrescine transport system permease protein PotH,cluster6
Phosphoenolpyruvate-protein phosphotransferase,cluster6
Fosmidomycin resistance protein,cluster6
EtfAB:quinone oxidoreductase,cluster6
Alkanal monooxygenase beta chain,cluster6
Alkanal monooxygenase alpha chain,cluster6
Single-stranded DNA-binding protein A,cluster6
IS3 family transposase ISSth1b,cluster6
HTH-type transcriptional activator Btr,cluster6
putative protein YqjZ,cluster6
IS1182 family transposase ISOih1,cluster6
putative siderophore transport system ATP-binding protein YusV,cluster6
RNA polymerase sigma factor SigV,cluster6
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase,cluster6
IS481 family transposase ISHne2,cluster6
Crotonyl-CoA reductase,cluster6
IS3 family transposase ISRme12,cluster6
Glucose facilitated diffusion protein,cluster6
putative ATP-dependent DNA helicase YoaA,cluster6
Outer membrane protein assembly factor BamD,cluster6
